,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
8014,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5142788,-58.4856317",960000,USD,14555904,960000,900,900,1066.666667,1066.666667,,4,,http://olivos.properati.com.ar/ppwo_venta_casa_olivos
8015,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,"-34.4435041188,-58.8756313745",89000,USD,1349453.6,89000,35,35,2542.857143,2542.857143,,1,,http://pilar.properati.com.ar/10k54_venta_departamentos_pilar_gimnasio_sum_garage_pk50_bgo
8016,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6750999,-58.5551592",95000,USD,1440428,95000,240,100,395.8333333,950,,,,http://san-justo-la-matanza.properati.com.ar/egf7_venta_casa_san-justo
8017,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6233306,-58.461768",69900,USD,1059851.76,69900,38,33,1839.473684,2118.181818,,1,,http://caballito.properati.com.ar/10bee_venta_departamentos_caballito_migliorisi-propiedades_cy0
8018,sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5913604,-58.4134397",,,,,48,29,,,,2,,http://palermo.properati.com.ar/zyn6_venta_departamentos_palermo_balcon_lavadero_patio_sum_aire-acondicionado_interwin-marketing-inmobiliario_9ic
8019,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,"-34.4812576,-58.5047858",328000,USD,4973267.2,328000,0,98,,3346.938776,3,,,http://acassuso.properati.com.ar/zone_venta_departamentos_martinez_albarellos_1000_lavadero_toilette_luminoso_garage_delfino-lynch-san-isidro
8020,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Villa Bosch|,"-34.5812289,-58.5798667",135000,USD,2046924,135000,131,104,1030.534351,1298.076923,,,,http://villa-bosch.properati.com.ar/103xm_venta_departamentos_villa-bosch_jardin_lavadero_patio_quincho_sum_pablo-yaryura-casa-central
8021,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6161221,-58.5754415",79000,USD,1197829.6,79000,96,65,822.9166667,1215.384615,1,3,,http://caseros.properati.com.ar/wxv1_venta_departamentos_caseros
8022,sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6588171,-58.6735843",90000,USD,1364616,90000,,,,,,,,http://ituzaingo.properati.com.ar/11hlc_venta_ph_ituzaingo_lavadero_patio_inmobiliaria-carlucci_d52
8023,sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Carapachay|,"-34.5222161,-58.5311481",118000,USD,1789163.2,118000,90,64,1311.111111,1843.75,,,,http://carapachay.properati.com.ar/11k5r_venta_ph_carapachay_carlos-tejedor_3500_parrilla_patio_terraza_garage_novoa-propiedades_auw
